Kernel,Config,N,BM,BN,BK,TM,TN,Threads,SharedMemoryBytes,TimeMs,GFLOPS,RatioToCuBLAS,Matched
cuBLAS,baseline,128,0,0,0,0,0,0,0,0.010655,393.645,1,1
thread_tile,BM64_BN64_BK8_TM4_TN4,128,64,64,8,4,4,256,4096,0.0164365,255.183,0.648256,1
thread_tile,BM64_BN128_BK8_TM4_TN8,128,64,128,8,4,8,256,6144,0.0307789,136.272,0.34618,1
thread_tile,BM128_BN64_BK8_TM8_TN4,128,128,64,8,8,4,256,6144,0.0246067,170.454,0.433013,1
thread_tile,BM128_BN128_BK8_TM8_TN8,128,128,128,8,8,8,256,8192,0.0389251,107.753,0.273732,1
thread_tile,BM128_BN128_BK16_TM8_TN8,128,128,128,16,8,8,256,16384,0.0381952,109.812,0.278963,1
vectorized,BM64_BN128_BK8_TM4_TN8,128,64,128,8,4,8,256,6144,0.0185136,226.553,0.575525,1
vectorized,BM128_BN64_BK8_TM8_TN4,128,128,64,8,8,4,256,6144,0.0143664,291.952,0.741664,1
vectorized,BM128_BN128_BK8_TM8_TN8,128,128,128,8,8,8,256,8192,0.020521,204.391,0.519227,1
vectorized,BM128_BN128_BK16_TM8_TN8,128,128,128,16,8,8,256,16384,0.0203494,206.114,0.523604,1
double_buffer,BM64_BN128_BK8_TM4_TN8,128,64,128,8,4,8,256,12288,0.0164656,254.731,0.647109,1
double_buffer,BM128_BN64_BK8_TM8_TN4,128,128,64,8,8,4,256,12288,0.0143664,291.952,0.741664,1
double_buffer,BM128_BN128_BK8_TM8_TN8,128,128,128,8,8,8,256,16384,0.0206333,203.279,0.516401,1
double_buffer,BM128_BN128_BK16_TM8_TN8,128,128,128,16,8,8,256,32768,0.0287744,145.765,0.370296,1
