mode,threads_per_block,blocks_per_sm,active_warps_per_sm,occupancy_blocks_per_sm,working_set_bytes,working_set_mib,requested_bytes,requested_to_working_set_ratio,elapsed_cycles,bytes_per_cycle_median,bytes_per_cycle_min,bytes_per_cycle_max,per_sm_bytes_per_cycle,index_stride_elements,stream_period_iters,sm_count,repeat_count
read-unique,64,1,2.0,16,16777216,16.0,335544320.0,20.0,1148756,292.093639,291.661005,293.587188,14.60468195,10241,1048576,20,3
read-unique,64,2,4.0,16,16777216,16.0,671088640.0,40.0,1185881,565.898804,565.261511,566.440464,28.294940200000003,20481,1048576,20,3
read-unique,64,3,6.0,16,16777216,16.0,1006632960.0,60.0,1304945,771.398764,770.30966,771.752425,38.5699382,30721,1048576,20,3
read-unique,64,4,8.0,16,16777216,16.0,1342177280.0,80.0,1515018,885.915072,885.485485,887.432769,44.2957536,40961,1048576,20,3
read-unique,64,5,10.0,16,16777216,16.0,1677721600.0,100.0,1861217,901.411066,897.216669,901.467734,45.0705533,51201,1048576,20,3
read-unique,64,6,12.0,16,16777216,16.0,2013265920.0,120.0,2199518,915.321411,914.685566,915.380924,45.76607055,61441,1048576,20,3
read-unique,64,7,14.0,16,16777216,16.0,2348810240.0,140.0,2545731,922.646674,903.190894,923.876583,46.1323337,71681,1048576,20,3
read-unique,64,8,16.0,16,16777216,16.0,2684354560.0,160.0,2886598,929.937096,929.934196,930.393493,46.4968548,81921,1048576,20,3
read-unique,64,9,18.0,16,16777216,16.0,3019898880.0,180.0,3227974,935.540026,935.378043,935.546112,46.7770013,92161,1048576,20,3
read-unique,64,10,20.0,16,16777216,16.0,3355443200.0,200.0,3583549,936.346399,825.783689,938.01955,46.81731995,102401,1048576,20,3
read-unique,64,11,22.0,16,16777216,16.0,3690987520.0,220.0,3925967,940.147362,939.944097,940.542413,47.0073681,112641,1048576,20,3
read-unique,64,12,24.0,16,16777216,16.0,4026531840.0,240.0,4240942,949.442798,948.948291,949.727205,47.4721399,122881,1048576,20,3
read-unique,64,13,26.0,16,16777216,16.0,4362076160.0,260.0,4643218,939.451079,939.370155,941.003063,46.972553950000005,133121,1048576,20,3
read-unique,64,14,28.0,16,16777216,16.0,4697620480.0,280.0,4972411,944.736966,944.164286,945.253657,47.236848300000005,143361,1048576,20,3
read-unique,64,15,30.0,16,16777216,16.0,5033164800.0,300.0,5321851,945.75455,945.147345,946.587151,47.2877275,153601,1048576,20,3
read-unique,64,16,32.0,16,16777216,16.0,5368709120.0,320.0,5674942,946.037708,942.884371,946.514889,47.301885399999996,163841,1048576,20,3
read-unique,128,1,4.0,8,16777216,16.0,671088640.0,40.0,1187113,565.311508,564.155266,565.604527,28.2655754,20481,1048576,20,3
read-unique,128,2,8.0,8,16777216,16.0,1342177280.0,80.0,1519508,883.297278,879.477835,886.669463,44.1648639,40961,1048576,20,3
read-unique,128,3,12.0,8,16777216,16.0,2013265920.0,120.0,2185418,921.226932,919.800987,922.448468,46.0613466,61441,1048576,20,3
read-unique,128,4,16.0,8,16777216,16.0,2684354560.0,160.0,2882564,931.238495,930.807088,931.400699,46.561924749999996,81921,1048576,20,3
read-unique,128,5,20.0,8,16777216,16.0,3355443200.0,200.0,3574049,938.835254,938.415414,938.978174,46.9417627,102401,1048576,20,3
read-unique,128,6,24.0,8,16777216,16.0,4026531840.0,240.0,4238041,950.092706,949.474366,950.171848,47.504635300000004,122881,1048576,20,3
read-unique,128,7,28.0,8,16777216,16.0,4697620480.0,280.0,5006746,938.258198,938.227091,939.210775,46.9129099,143361,1048576,20,3
read-unique,128,8,32.0,8,16777216,16.0,5368709120.0,320.0,5690684,943.420707,943.314949,944.558854,47.17103535,163841,1048576,20,3
read-unique,256,1,8.0,4,16777216,16.0,1342177280.0,80.0,1508676,889.63918,888.373756,891.430697,44.481959,40961,1048576,20,3
read-unique,256,2,16.0,4,16777216,16.0,2684354560.0,160.0,2878436,932.573995,932.288327,932.820614,46.628699749999996,81921,1048576,20,3
read-unique,256,3,24.0,4,16777216,16.0,4026531840.0,240.0,4229973,951.904856,951.142363,951.957968,47.5952428,122881,1048576,20,3
read-unique,256,4,32.0,4,16777216,16.0,5368709120.0,320.0,5677742,945.571165,855.044249,946.368898,47.278558249999996,163841,1048576,20,3
write-unique,64,1,2.0,20,16777216,16.0,335544320.0,20.0,1166700,287.6012,284.150093,305.433467,14.38006,10241,1048576,20,3
write-unique,64,2,4.0,20,16777216,16.0,671088640.0,40.0,2407275,278.775229,274.096312,289.703018,13.938761450000001,20481,1048576,20,3
write-unique,64,3,6.0,20,16777216,16.0,1006632960.0,60.0,3049920,330.052251,317.744385,356.699957,16.502612550000002,30721,1048576,20,3
write-unique,64,4,8.0,20,16777216,16.0,1342177280.0,80.0,4777903,280.913464,264.019934,284.623654,14.0456732,40961,1048576,20,3
write-unique,64,5,10.0,20,16777216,16.0,1677721600.0,100.0,5629441,298.026323,291.784469,306.413189,14.90131615,51201,1048576,20,3
write-unique,64,6,12.0,20,16777216,16.0,2013265920.0,120.0,7643061,263.410945,253.850301,272.078037,13.170547250000002,61441,1048576,20,3
write-unique,64,7,14.0,20,16777216,16.0,2348810240.0,140.0,6956491,337.642964,335.561865,340.017739,16.8821482,71681,1048576,20,3
write-unique,64,8,16.0,20,16777216,16.0,2684354560.0,160.0,7975253,336.585505,335.270572,344.936377,16.829275250000002,81921,1048576,20,3
write-unique,64,9,18.0,20,16777216,16.0,3019898880.0,180.0,8304040,363.666225,362.828761,374.264568,18.18331125,92161,1048576,20,3
write-unique,64,10,20.0,20,16777216,16.0,3355443200.0,200.0,11749573,285.580012,266.895405,295.954645,14.2790006,102401,1048576,20,3
write-unique,64,11,22.0,20,16777216,16.0,3690987520.0,220.0,11469070,321.820995,305.644279,327.743954,16.09104975,112641,1048576,20,3
write-unique,64,12,24.0,20,16777216,16.0,4026531840.0,240.0,13226701,304.4245,270.375254,305.954027,15.221225,122881,1048576,20,3
write-unique,64,13,26.0,20,16777216,16.0,4362076160.0,260.0,12656437,344.652777,332.031402,353.766535,17.23263885,133121,1048576,20,3
write-unique,64,14,28.0,20,16777216,16.0,4697620480.0,280.0,15747176,298.315106,296.631107,298.715476,14.9157553,143361,1048576,20,3
write-unique,64,15,30.0,20,16777216,16.0,5033164800.0,300.0,16515038,304.762532,299.514217,306.255047,15.238126600000001,153601,1048576,20,3
write-unique,64,16,32.0,20,16777216,16.0,5368709120.0,320.0,18363155,292.363111,270.831967,297.650871,14.61815555,163841,1048576,20,3
write-unique,64,17,34.0,20,16777216,16.0,5704253440.0,340.0,17697938,322.311754,290.887479,341.694356,16.1155877,174081,1048576,20,3
write-unique,64,18,36.0,20,16777216,16.0,6039797760.0,360.0,20860552,289.53202,280.978668,310.107685,14.476600999999999,184321,1048576,20,3
write-unique,64,19,38.0,20,16777216,16.0,6375342080.0,380.0,22124520,288.157306,284.758026,307.33218,14.407865300000001,194561,1048576,20,3
write-unique,64,20,40.0,20,16777216,16.0,6710886400.0,400.0,20535178,326.799524,287.683237,373.785824,16.339976200000002,204801,1048576,20,3
write-unique,128,1,4.0,10,16777216,16.0,671088640.0,40.0,2716048,247.082761,245.039837,255.856136,12.35413805,20481,1048576,20,3
write-unique,128,2,8.0,10,16777216,16.0,1342177280.0,80.0,5485692,244.668727,227.49797,248.035709,12.23343635,40961,1048576,20,3
write-unique,128,3,12.0,10,16777216,16.0,2013265920.0,120.0,7990468,251.958448,250.468795,260.291457,12.5979224,61441,1048576,20,3
write-unique,128,4,16.0,10,16777216,16.0,2684354560.0,160.0,11144414,240.869961,240.110035,247.920139,12.04349805,81921,1048576,20,3
write-unique,128,5,20.0,10,16777216,16.0,3355443200.0,200.0,11854530,283.051559,272.267192,290.667648,14.15257795,102401,1048576,20,3
write-unique,128,6,24.0,10,16777216,16.0,4026531840.0,240.0,14432683,278.987063,266.325712,292.185162,13.949353149999999,122881,1048576,20,3
write-unique,128,7,28.0,10,16777216,16.0,4697620480.0,280.0,16203778,289.908963,280.526367,295.155291,14.495448150000001,143361,1048576,20,3
write-unique,128,8,32.0,10,16777216,16.0,5368709120.0,320.0,19595112,273.982058,262.025692,284.661941,13.6991029,163841,1048576,20,3
write-unique,128,9,36.0,10,16777216,16.0,6039797760.0,360.0,18284532,330.322797,319.071728,333.208988,16.51613985,184321,1048576,20,3
write-unique,128,10,40.0,10,16777216,16.0,6710886400.0,400.0,18631284,360.19452,349.188585,368.415189,18.009726,204801,1048576,20,3
write-unique,256,1,8.0,5,16777216,16.0,1342177280.0,80.0,4207662,318.984101,316.599333,339.904272,15.94920505,40961,1048576,20,3
write-unique,256,2,16.0,5,16777216,16.0,2684354560.0,160.0,7735881,347.000498,342.22655,347.635293,17.3500249,81921,1048576,20,3
write-unique,256,3,24.0,5,16777216,16.0,4026531840.0,240.0,12068243,333.646898,306.439209,338.388475,16.6823449,122881,1048576,20,3
write-unique,256,4,32.0,5,16777216,16.0,5368709120.0,320.0,17064869,314.605938,310.650965,317.480231,15.730296899999999,163841,1048576,20,3
write-unique,256,5,40.0,5,16777216,16.0,6710886400.0,400.0,17463163,384.288138,380.494235,386.157945,19.2144069,204801,1048576,20,3
